U+4FD1: yǒng  #俑
U+4FD7: sú  #俗
U+4FD8: fú  #俘
U+4FD9: xī  #俙
U+4FDA: lǐ,lì  #俚
U+4FDC: pīng  #俜
U+4FDD: bǎo  #保
U+4FDE: yú,shù  #俞
U+4FDF: qí,sì  #俟
U+4FE1: xìn,shēn  #信
U+4FE3: yǔ  #俣
U+4FE6: chóu  #俦
U+4FE8: yǎn  #俨
U+4FE9: liǎ,liǎng  #俩
U+4FEA: lì  #俪
U+4FEB: lái  #俫
U+4FED: jiǎn  #俭
U+4FEE: xiū  #修
U+4FEF: fǔ  #俯
U+4FF1: jù,jū  #俱
U+4FF3: pái  #俳
U+4FF5: biào  #俵
U+4FF6: chù,shū,tì  #俶
U+4FF8: fèng,běng  #俸
U+4FFA: ǎn,yàn  #俺
U+4FFE: bǐ,bì,bēi,pì  #俾
U+500C: guān  #倌
U+500D: bèi,péi  #倍
U+500F: shū  #倏
U+5012: dào,dǎo  #倒
U+5013: tán,dàn,tàn  #倓
U+5014: jué,juè  #倔
U+5015: chuí,zhuì  #倕
U+5018: tǎng,cháng  #倘
U+5019: hòu  #候
U+501A: yǐ,jī,yī  #倚
U+501C: tì,diào,zhōu  #倜
U+501E: jìng,liàng  #倞
U+501F: jiè  #借
U+5021: chàng,chāng  #倡
U+5025: kōng,kǒng  #倥
U+5026: juàn  #倦
U+5027: zōng  #倧
U+5028: jù  #倨
U+5029: qiàn,qìng  #倩
U+502A: ní,nì,niè  #倪
U+502C: zhuō  #倬
U+502D: wō,wēi,wǒ  #倭
U+502E: luǒ  #倮
U+5034: bèn,bēn  #倴
U+503A: zhài  #债
U+503B: yē  #倻
U+503C: zhí  #值
U+503E: qīng  #倾
U+5041: chēng  #偁
U+5043: yǎn  #偃
U+5047: jiǎ,jià,jie,xià,xiá,gé  #假
U+5048: jì,jié,qì  #偈
U+504C: ruò,rè  #偌
U+504E: wēi  #偎
U+504F: piān  #偏
U+5053: wò  #偓
U+5055: xié,jiē  #偕
U+505A: zuò  #做
U+505C: tíng  #停
U+5061: zhàn  #偡
U+5065: jiàn  #健
U+506C: zǒng,cōng  #偬
U+506D: miǎn  #偭
U+5070: xiè  #偰
U+5072: cāi,sī,sǐ  #偲
U+5076: ǒu  #偶
U+5077: tōu  #偷
U+507B: lóu,lǚ  #偻
U+507E: fèn  #偾
U+507F: cháng  #偿
U+5080: guī,kuǐ,kuài  #傀
U+5083: sù  #傃
U+5085: fù,fū  #傅
U+5088: lì  #傈
U+5089: nù  #傉
U+508D: bàng,páng,bēng,péng  #傍
U+5092: xī,xì  #傒
U+5095: jué,què  #傕
U+50A3: dǎi  #傣
U+50A5: tǎng  #傥
U+50A7: bīn  #傧
U+50A8: chǔ  #储
U+50A9: nuó  #傩
U+50AC: cuī  #催
U+50B2: ào,áo  #傲
U+50BA: chì  #傺
U+50BB: shǎ  #傻
U+50C7: lù,liáo  #僇
U+50CE: zhuàn,zūn  #僎
U+50CF: xiàng  #像
U+50D4: zǔn,cuán  #僔
U+50D6: xī  #僖
U+50DA: liáo,liǎo,lǎo  #僚
U+50E6: jiù  #僦
U+50E7: sēng,céng  #僧
U+50EC: jiāo,jiào,jiǎo  #僬
U+50ED: jiàn,zèn  #僭
U+50EE: tóng,zhuàng,chòng  #僮
U+50F0: bó  #僰
U+50F3: sù  #僳
U+50F5: jiāng  #僵
U+50FB: pì  #僻
U+5106: jǐng  #儆
U+5107: xuān,xuán  #儇
U+510B: dān,dàn,shàn  #儋
U+5112: rú  #儒
U+5121: lěi,léi,lèi  #儡
U+5126: biāo  #儦
U+5133: chán,chàn  #儳
U+5134: ráng,xiāng  #儴
U+513F: ér,er,rén  #儿
U+5140: wù,wū  #兀
U+5141: yǔn,yuán  #允
U+5143: yuán  #元
U+5144: xiōng,kuàng  #兄
U+5145: chōng  #充
U+5146: zhào  #兆
U+5148: xiān  #先
U+5149: guāng,guàng  #光
U+514B: kè  #克
U+514D: miǎn,wèn,wǎn  #免
U+5151: duì,ruì,duó  #兑
U+5154: tù,tú,chān  #兔
U+5155: sì  #兕
U+5156: yǎn  #兖
U+515A: dǎng  #党
U+515C: dōu  #兜
U+5162: jīng  #兢
U+5165: rù  #入
U+5168: quán  #全
U+516B: bā,bá  #八
U+516C: gōng  #公
U+516D: liù,lù  #六
U+516E: xī  #兮
U+5170: lán  #兰
U+5171: gòng,gōng,gǒng,hóng  #共
U+5173: guān  #关
U+5174: xīng,xìng  #兴
U+5175: bīng  #兵
U+5176: qí,jī,jì  #其
U+5177: jù  #具
U+5178: diǎn,tiǎn  #典
U+5179: zī,cí  #兹
U+517B: yǎng  #养
U+517C: jiān  #兼
U+517D: shòu  #兽
U+5180: jì  #冀
U+5181: chǎn  #冁
U+5185: nèi,nà,ruì  #内
U+5188: gāng  #冈
U+5189: rǎn,nán,dān  #冉
U+518C: cè,zhà  #册
U+518D: zài  #再
U+518F: jiǒng,jiōng  #冏
U+5192: mào,mò  #冒
U+5194: xǔ  #冔
U+5195: miǎn  #冕
U+5197: rǒng  #冗
U+5199: xiě,xiè  #写
U+519B: jūn  #军
U+519C: nóng  #农
