# Table of General Standard Chinese Characters mapped to Unicode
index number	codepoint
814	U+89D2
815	U+5220
816	U+6761
817	U+5F64
818	U+5375
819	U+7078
820	U+5C9B
821	U+5228
822	U+8FCE
823	U+996D
824	U+996E
825	U+7CFB
826	U+8A00
827	U+51BB
828	U+72B6
829	U+4EA9
830	U+51B5
831	U+5E8A
832	U+5E93
833	U+5E87
834	U+7597
835	U+541D
836	U+5E94
837	U+8FD9
838	U+51B7
839	U+5E90
840	U+5E8F
841	U+8F9B
842	U+5F03
843	U+51B6
844	U+5FD8
845	U+95F0
846	U+95F2
847	U+95F4
848	U+95F7
849	U+5224
850	U+5151
851	U+7076
852	U+707F
853	U+707C
854	U+5F1F
855	U+6C6A
856	U+6C90
857	U+6C9B
858	U+6C70
859	U+6CA5
860	U+6C99
861	U+6C7D
862	U+6C83
863	U+6CA6
864	U+6C79
865	U+6CDB
866	U+6CA7
867	U+6CA1
868	U+6C9F
869	U+6CAA
870	U+6C88
871	U+6C89
872	U+6C81
873	U+6000
874	U+5FE7
875	U+5FF1
876	U+5FEB
877	U+5B8C
878	U+5B8B
879	U+5B8F
880	U+7262
881	U+7A76
882	U+7A77
883	U+707E
884	U+826F
885	U+8BC1
886	U+542F
887	U+8BC4
888	U+8865
889	U+521D
890	U+793E
891	U+7940
892	U+8BC6
893	U+8BC8
894	U+8BC9
895	U+7F55
896	U+8BCA
897	U+8BCD
898	U+8BD1
899	U+541B
900	U+7075
901	U+5373
902	U+5C42
903	U+5C41
904	U+5C3F
905	U+5C3E
906	U+8FDF
907	U+5C40
908	U+6539
909	U+5F20
910	U+5FCC
911	U+9645
912	U+9646
913	U+963F
914	U+9648
915	U+963B
916	U+9644
917	U+5760
918	U+5993
919	U+5999
920	U+5996
921	U+59CA
922	U+59A8
923	U+5992
924	U+52AA
925	U+5FCD
926	U+52B2
927	U+77E3
928	U+9E21
929	U+7EAC
930	U+9A71
931	U+7EAF
932	U+7EB1
933	U+7EB2
934	U+7EB3
935	U+9A73
936	U+7EB5
937	U+7EB7
938	U+7EB8
939	U+7EB9
940	U+7EBA
941	U+9A74
942	U+7EBD
943	U+5949
944	U+73A9
945	U+73AF
946	U+6B66
947	U+9752
948	U+8D23
949	U+73B0
950	U+73AB
951	U+8868
952	U+89C4
953	U+62B9
954	U+5366
955	U+5777
956	U+576F
957	U+62D3
958	U+62E2
959	U+62D4
960	U+576A
961	U+62E3
962	U+5766
963	U+62C5
964	U+5764
965	U+62BC
966	U+62BD
967	U+62D0
968	U+62D6
969	U+8005
970	U+62CD
971	U+9876
972	U+62C6
973	U+62CE
974	U+62E5
975	U+62B5
976	U+62D8
977	U+52BF
978	U+62B1
979	U+62C4
980	U+5783
981	U+62C9
982	U+62E6
983	U+5E78
984	U+62CC
985	U+62E7
986	U+62C2
987	U+62D9
988	U+62DB
989	U+5761
990	U+62AB
991	U+62E8
992	U+62E9
993	U+62AC
994	U+62C7
995	U+62D7
996	U+5176
997	U+53D6
998	U+8309
999	U+82E6
1000	U+6614
1001	U+82DB
1002	U+82E5
1003	U+8302
1004	U+82F9
1005	U+82D7
1006	U+82F1
1007	U+82DF
1008	U+82D1
1009	U+82DE
1010	U+8303
1011	U+76F4
1012	U+8301
1013	U+8304
1014	U+830E
1015	U+82D4
1016	U+8305
1017	U+6789
1018	U+6797
1019	U+679D
1020	U+676F
1021	U+67A2
1022	U+67DC
1023	U+679A
1024	U+6790
1025	U+677F
1026	U+677E
1027	U+67AA
1028	U+67AB
1029	U+6784
1030	U+676D
1031	U+6770
1032	U+8FF0
1033	U+6795
1034	U+4E27
1035	U+6216
1036	U+753B
1037	U+5367
1038	U+4E8B
1039	U+523A
1040	U+67A3
1041	U+96E8
1042	U+5356
1043	U+90C1
1044	U+77FE
1045	U+77FF
1046	U+7801
1047	U+5395
1048	U+5948
1049	U+5954
1050	U+5947
1051	U+594B
1052	U+6001
1053	U+6B27
1054	U+6BB4
1055	U+5784
1056	U+59BB
1057	U+8F70
1058	U+9877
1059	U+8F6C
1060	U+65A9
1061	U+8F6E
1062	U+8F6F
1063	U+5230
1064	U+975E
1065	U+53D4
1066	U+6B67
1067	U+80AF
1068	U+9F7F
1069	U+4E9B
1070	U+5353
1071	U+864E
